"ID","Name","Description","Type","Parent Customer ID","Bill to Parent","Status","Website","Billing Batch","Payment Terms","Currency","Billing Cycle Day","Auto-Pay","Allow Customer to Disable Auto-Pay","Tax Exempt","Account Balance","Price Book ID","Gateway Name","Gateway Account Name","Payment Gateway ID","Billing Contact ID","Shipping Contact ID","ACH Credit Account Number","ACH Credit Routing Number","ACH Credit Bank Name","ACH Credit Swift Code","ACH Payment Enabled","Canadian Pre-Authorized Payment Enabled","ACH Credit Payment Enabled","Credit Card Payment Enabled","Affirm Payment Enabled","Payment Processing Fee Enabled","Portal Status","Last Invoice Date","Contracted MRR","Discounted CMRR","Contracted ARR","Discounted CARR","Print Enabled","Email Enabled","Integration Status","Integration Failed At","Integration Failed At Avalara","Integration Failed At Quickbooks","Created By","Updated By","Created Date","Updated Date","Implementation Budgeted Hours","Project Lead","Project Type","Target Project End Date","Implementation Hours Consumed to Date","Premium Support","Premium Support Hours","CSM","Use Case Notes","Data Cleanup Date","Implementation - Summary","Target Go Live Date","Actual Go Live Date","GL","Last Connect Date","Client Sentiment","Product Issues","Implementation - Lead","Implementation - Kickoff Date","Implementation - Running Notes","Customer Sentiment","Planned Integrations","Target Implementation End Date","Other Risk","PO Number","Date of non-renewal","Sales Rep","quickbooks_id","Renewal Notes","Customer Success - Notes","Implementation - T&M Start Date","Challenges and Opportunities","Stickiness Factor","salesforce_id","Database Location","avalara_entity_use_code","avalara_customer_code","business_identification_num","netsuite_id","Tier","Term Notes","Amount Remaining in Tier","Invoice Usage","Implementation - Project Health","Database ID","Tier Maximum Invoicing Value","Graduation Line Nearing?","Client Status"
"C-00139","Portside","","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_NHqwg2iyCJ0BJy","CT-00349","CT-00349","","","","","Yes","No","No","No","No","No","","2024-02-14","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-02-02 20:24:10 UTC","2025-07-30 16:14:32 UTC","108","","None","","149","No","0","","","","","","","QBO","","1 Green","","Nicholas Caligaris","2023-03-15","Because they have six entities, and we are now ""live"" with 2, my updates will be under ""hypercare"".","Satisfied","Quickbooks,Salesforce,Anrok","2023-08-31","","","","Renewal","514","","","2023-06-16","","","","","","C-00139","","","","","10000000.00","0.00","Green","","10000000.00","","Churning"
"C-00140","Gradient Boosted Investments Inc.","-","business","","","Active","","Default","Net 10","USD","23rd Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_PzpuZp5TIKNMyW","CT-00352","CT-00352","","","","","Yes","No","No","No","No","No","","2025-04-02","2200.00","2200.00","26400.00","26400.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-03-08 12:51:04 UTC","2025-07-30 16:14:32 UTC","92","","None","","115","No","0","","","","","","","QBO","2023-12-11","1 Green","Hubspot quoting","Nicholas Caligaris","2023-04-24","​​​​​Nicholas and Max  re-initiated the implementation     on 10/6/23.<br />
<br />
<br />
Murray and Anne have been    both on top of action items leading to productive calls.<br />
<br />
As of 10/13, we are wrapping up products and plans but have covered nearly all of their projected use-cases during this week's sessions.<br />
<br />
As a result, I project that next week we prepare for a migration to Production.<br />
<br />
--------------------------------------------------------------------​​​​​​​-----------------<br />
<br />
We are all set-up in Production and working on validating DR, through November and December, created via actual invoice generation.  Once reconciled, we will pivot to connecting Stripe, migrating workflows, and generating ""live"" invoices.<br />
<br />
-------------------------------------------------------------------------------------<br />
<br />
Went live on 1/12/24 and have been performing hypercare since then.  They have a handful of remaining invoices to import and some subscriptions they are cleaning up .  Otherwise, we just need to close December, enable auto-JE, and prepare for January close.<br />
<br />
-------------------------------------------------------------------------------------<br />
3/15: Client just wrapped up performing motth-end close through January and is working on February.  Client is very demanding and has multiple issues that they need nearly instant reponses for.  We should transition them by end of March fuly (currently Max and Sneha are intervening more).  Final step is to 100% ensure they are on auto-JE, etc.<anne.devaney@boosted-ai.com></anne.devaney@boosted-ai.com>","Satisfied","Hubspot","2024-01-19","","","","Renewal","520","","","2023-07-25","They aren't happy with HubSpot's lack of ""quoting"" but are not ready to move to SFDC yet.

Vijay helped recently with a WF","","","","","C-00140","","","","","0.00","0.00","Green","","0.00","","Live - Support"
"C-00141","Overjet, Inc.","-","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00362","CT-00362","","","","","Yes","No","No","No","No","No","","2023-11-30","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-03-26 21:47:31 UTC","2025-07-30 16:14:33 UTC","0","","","","6.25","No","0","","","","","","","","","","","Neil Pritchard","2023-05-15","Kick off project 18 May. 2 meetings held however cleint wants to pause pending netsuite implementation and bandwidth issues.","Business Risk","Salesforce,Quickbooks","","Client implementing NS Q1 2024 and doesn't want Ordway anymore","","","Renewal","521","","","2023-08-16","","","","","","C-00141","","","","","0.00","0.00","Red","","0.00","","Churned before go live"
"C-00142","Candidly","-","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_NuatqqM5YwXtOM","CT-00363","CT-00363","","","","","Yes","No","No","No","No","No","","2025-07-16","3525.00","2350.00","42300.00","28200.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-04-01 13:36:29 UTC","2025-07-30 16:14:33 UTC","120","Max","None","","40","No","0","","","","","","","","","2 Yellow","non-renewal partly due to lack of AI capabilities","Nicholas Caligaris","2023-05-15","<ul>
	<li>The project commenced on 5/17.</li>
	<li>Planned Integrations: SFDC/ QBO</li>
	<li>High-level use cases solution completed, waiting for details on the product and revenue proration logic from their controller Erica</li>
	<li>Candidly SaaS products ( single product for now ) will be used for all existing customers.</li>
	<li>Customers and contacts will be loaded into the sandbox for testing and validation.</li>
	<li>Subscriptions will be built out to validate BSL/RSL (Business Service Level/Residential Service Level).</li>
	<li>The client is seeking integration of a payment processor with Ordway.</li>
	<li>Options for supported payment gateways are provided to the client.</li>
	<li>The client is working internally with their SFDC consultants to determine pricing for their products and define processes related to SFDC - Ordway Integration</li>
	<li>The client has brought up usecase on revenue which we solutioned using straight line prorated so they can make the adjustments one time when they go live, meeting scheduled for the discussion.</li>
	<li>Client confirmed on 6/7 QBO Integration will be part of the implementation.</li>
	<li>Subscription build out inprogress and validation,few contracts are usage based where the client is looking for contract details internally. </li>
	<li>Based on an in-person discussion with Erica ( Candidly ) they agreed to go with the recent version of the subscription and also agreed to the Ordway Revenue rule, SFDC integration will not be part of this project phase for now, it will only be QBO integration. </li>
	<li>Subscription build out completed ( only a few left will be completed by EOD today by Nanhee 6/23 ) </li>
	<li>Payment processor, they are still evaluating </li>
	<li>QBO integration they have scheduled internal meeting on this today 6/23 </li>
</ul>
Current stats as of 6/29:<br />
1. Subscription build out complete in production<br />
2. Client to validate and upload usages for usage based customers. <br />
3. Subscriptions to be activated and mark the bsl/rsl as of june 30. <br />
4. They will use July as parallel run since Nanhee is OOO entire July, they wont use Ordway in the month of July. <br />
5. QBO discussion completed and steps communicated. <br />
6. DR reconciliation,parallel run data imported client is reconciling it,<br />
6. Historical invoices/payments client is working on the data.<br />
<br />
8/1:
<ul>
	<li>Ordway has set the BSL/RSL marking until July 31, 2023, and all subscriptions are active.</li>
	<li>Nanhee will be working on the DR balance until July 31 and share it with us, and historical invoices data will be imported at the meeting scheduled on Friday. </li>
	<li>A Migration control product has been created to facilitate the go-live activity.</li>
	<li>The Candidly team is currently in the process of deciding on the payment gateway processor. Until a decision is made, invoices sent out of Ordway will not allow customers to make online payments. </li>
	<li>DR balance imported in prod by Ordway as of 7/31, client to validate and reconcile.</li>
	<li>They still have no decision made on which payment gateway they would choose.</li>
	<li>Nanhee came up with question wrt DR that they would like to use the DR balance as of 8/1 in Ordway, steps were provided she will get back to Erica to discuss and changes will be required on the subscription. </li>
	<li>Update from Nanhee: 8/7:<em> We have decided to keep the current subscriptions in Ordway and do a monthly reconciliation between Ordway and our current DR balance worksheet, meeting scheduled for discussion.</em></li>
	<li>Nanhee sent email approval on 8/10 DR balance looks good. </li>
	<li>Historical invoices imported</li>
	<li>QBO integration mapping done and sync enabled. </li>
	<li>BSL/RSL posted till 7/31.</li>
	<li>Billing run generated draft looks good, they will check internally and send invoices as they dont have payment gateway decision yet. </li>
	<li>Usage based customers data was not ready, Nanhee will work on that and get that imported to invoice these customers. </li>
</ul>","Satisfied","Salesforce,Quickbooks","2023-07-17","Erica gave notice of non-renewal","","2025-05-14","Renewal","522","","","2023-07-18","Their people are not Ordway experts and we have offered training a few times. No open issues that have been shared with us","","","","","C-00142","","","","","0.00","0.00","Green","","0.00","","Potential Churn"
"C-00143","Backlight Parent Corporation","","business","","","Active","","Default","Net 45","USD","1st Day Of The Month","No","Yes","No","32726.57","","Stripe","Stripe","","CT-00378","CT-00378","","","","","Yes","No","No","No","No","No","","2025-06-01","10308.33","10308.33","123700.00","123700.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-06-02 21:41:15 UTC","2025-07-30 16:14:33 UTC","250","Neil, Sneha","Implementation","2025-08-01","294.45","No","0","","","","","2025-08-01","","","","1 Green","PRODUCT Enhancement
Needs solution for adding backdated usage to bill after previous periods are closed without opening the books. they want to load historical usage (that was missed previously) but they cannot today.","Neil Pritchard","2023-06-12","20 December<br />
Backlight Live and operational  fior Zype and Maz entities. <br />
<br />
<br />
Wildmokka  amd Ftrac aiming to complete in Jan<br />
Iconik Aim for Feb<br />
<br />
Signficant portion of hours consuned since Sept on Maz and Zype contract correction","","Salesforce,Netsuite","2025-01-01","Remaining 3 entities deferred implementation due to internal Backlight Audit taking priority over staff time. Will continue implementing remaining instances after their audit (Wildmoka, Iconik )","","","Renewal","531","","","","Close to being fully live with Iconik.

""We've met internally and will definitely be moving forward with getting the net-new, subscription-based iconik customers onto Ordway. We'll probably wait to do anything with the credits-based, pay-as-you-go customers as it's not as pressing and there are higher priorities for our team overall (status quo works pretty well for those customers)"". . We're considering bringing over only the 3 new subscription products and leaving the existing usage-based customers on our homegrown solution. They owe us a product list and then we probably need another call to estimate LOE and see if we need to charge PS for this implementation. Since it's just net new it might be completed in a single call.

Celtx is almost entirely B2C and works fine on Stripe. I don't anticipate moving it onto Ordway. 

Wildmoka is low volume, high deal size. Any change to billing for those customers could be extremely disruptive, so we need to come up with a plan sometime in 2025.","","","","","C-00143","","","","","0.00","0.00","Green","","0.00","","Partially Live"
"C-00144","Prismatic","-","business","","","Active","","Default","Net 30","USD","14th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00386","CT-00386","","","","","Yes","No","No","No","No","No","","2024-08-14","2200.00","2200.00","26400.00","26400.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-06-30 16:12:27 UTC","2025-07-30 16:14:34 UTC","25","","None","","31","No","0","","","","","","","QBO","2024-05-15","1 Green","PRODUCT
Needs a way to get notifications when a customer reaches their tier. Currently there is not OOTB way to do this. same request as Regent HS","Nicholas Caligaris","2023-07-10","We have finished all subscription validation, now Neal is providing me with his DR balances for me to upload, so we can finish the DR Waterfall validation.<br />
<br />
However, they are now asking how to charge back credit card fees.  I told them to either create a recurring charge for the approximate amount or every so often send an order for the amount in fees.<br />
<br />
From there, we should be ready to invoice.<br />
<br />
-------------------------------------------------------------------------------------<br />
<br />
We are still waiting on this ticket, https://ordwaylabs.zendesk.com/agent/tickets/12261, to be completed.  Once that is done, we can quickly go-live since everything is built in Production.<br />
-------------------------------------------------------------------------------------<br />
<br />
We are ""live"" as of 5/17.  Will perform month-end close with them, but other than that, they have the system fairly well handled.  Will spend the rest of May going over some intra-month things, improvements, etc., but I will look to hand them off to CS/Support in June.","","Quickbooks","2024-06-07","","","","Renewal","535","","","2023-10-13","","","","","","C-00144","","","","","0.00","0.00","Green","","0.00","","Live - Support"
"C-00145","Oaky","","business","","","Active","","Default","Net 10","USD","14th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_SgT0iq85Sq4AGT","CT-00388","CT-00388","","","","","Yes","No","No","No","No","No","","2025-07-15","3525.00","2640.00","42300.00","31680.00","Yes","Yes","failed","2025-07-30 15:52:55 UTC","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-06-30 16:53:57 UTC","2025-07-30 16:14:34 UTC","92","Alex/ Sneha/ Max","Hypercare Project","2024-12-31","106.5","No","0","","","","","","2023-12-31","Xero","2024-07-08","2 Yellow","https://ordwaylabs.zendesk.com/agent/tickets/17997 - Revenue reporting issue causing major delays for them","Neil Pritchard","2023-08-14","<ul>
	<li>20 December</li>
	<li>Invoice issued out of Ordway, payments applied, historical invoices loaded, deferred revenue set up.</li>
	<li>Xero negative invoice , Product looking at integration fix.</li>
	<li>In Hypercare now going good</li>
</ul>
 

<ul>
	<li>Project was initiated on July 17th.</li>
	<li>Discussion scheduled between their SME and Ordway SFDC SME Alex to validate their business process and decide the best process that works, client to confirm their SME availability as he is based out of MYS and client primary POC Netherlands </li>
	<li>Based on that products/plans will be setup and usecases will be solutioned.</li>
	<li>This week the discussion was focussed mainly on getting the SFDC integration setup in Sandbox and ensure the products/plan sync works. </li>
	<li>But due to the deployemnts in sandbox there are two issues that needs fix by the engg team, not sure at this point if there is any workaround and if not this may lead to reschedule the discussions with the client thereby increasing the timelines. </li>
	<li>https://ordway.atlassian.net/browse/OPS-2176?jql=text%20~%20%22subscriptionchargetier*%22</li>
	<li>https://ordway.atlassian.net/browse/PLAT-13692</li>
	<li>Sandbox issues were resolved.</li>
	<li>8/11: Focus on this week was working on the SFDC setup and going through their business process and identify gaps if any, testing is in progress and Alex is leading the SFDC discussion with their SFDC SME. </li>
	<li>SFDC discussion has been completed, Oaky team to sync internally and decide the best approach to proceed further how the products/plans would be setup. </li>
	<li>Migration strategy details shared with Oaky team, they will discuss internally and let us know the update. </li>
	<li>Xero Integration: Oaky to check access for the sandbox instance.</li>
	<li>Project Plan has been shared with them for tentative go live Oct 1 and they have been informed to ensure all contracts, customer data is ready and accurate for discussion during the implementation phase, they have around 1000 customers. </li>
	<li>Update this week:</li>
	<li>    Usecase 1 solutioned out of the box</li>
	<li>    Action items assigned to Oaky team for invoicing preference review</li>
	<li>    Customer Portal functionality demonstrated and activated in Sandbox account</li>
	<li>    Internal discussions within Oaky team ongoing about business process and SFDC testing with Ordway integration</li>
	<li>    Planning discussions on setup of products/plans with multicurrency in progress at their end</li>
	<li>    Internal talks within Oaky team about migration approach</li>
	<li>    Informed them that this decision could lead to project delay, with applicable T&M consequences</li>
	<li>Angela is OOO on the 24 and 25th of this week</li>
	<li>Usecase 1 solutioned out of the box and approved by the client.</li>
	<li>Usecases 2-7 have been developed and shared with Angela for her review and input.</li>
	<li>Vijay is reviewing usecase 9 if it can be solutioned using WF</li>
	<li>9/1 stats:</li>
	<li>All usecases now have been solutioned pending feedback from Oaky team. </li>
	<li>Usecase 9 calculation will be done manually by Oaky team as confirmed on 8/31 meeting call. </li>
	<li>Xero integration they are deciding approach either JE or both Je and transactions</li>
	<li><span style=""font-size:11.0pt""><span style=""font-family:Calibri""><span style=""font-weight:bold"">API Usage Updates:</span> Their product team is currently discussing potential updates for API usages. We will receive further communication once internal deliberations are complete.</span></span></li>
	<li><span style=""font-size:11.0pt""><span style=""font-family:Calibri""><span lang=""en-US"" style=""font-weight:bold"">Delay in SFDC Decision:</span> Progress on determining products/plans within Salesforce (SFDC) is hindered by a team member's unavailability for testing. The complexity arises from product configuration involving multiple currencies and alignment with existing Salesforce processes.</span></span><br />
	<span style=""font-size:11.0pt""><span style=""font-family:Calibri""> The initial target of achieving a go-live date by October 1st is now uncertain due to the ongoing delay in SFDC testing on their end, will see how their progress is in the coming week. </span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri""> Meeting was scheduled with Max, Alex,Neil for 9/6 to tackle delay reasons and evaluate SFDC integration gaps or if there is any way we can assist to speed things up. Their SFDC SME Isaac was not available on the meeting.</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri"">Isaac's email promises additional updates next week.</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri"">Oaky team confirmed Nov go-live, shifting from Oct based on the meeting discussion.</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri"">Xero Integration Options: Ordway provided two options, i. With Transactions ii. No Xero integration and export JE from Ordway and import to Xero manually as a month end process ( due to Xero daily API Limits ) Oaky team to discuss internally and decide the preferred option and keep the Xero sandbox setup ready accordingly for testing.</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri"">Oaky team to also consider the option for API usage with their product team</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri"">Oaky team to review the usecase document and let us know of gaps if any.</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri"">9/11: Client reached out with queries on SFDC, Alex reponded back for SFDC access so he can debug it further.</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:11.0pt""><span style=""font-family:Calibri"">9/12: client gave access to their SFDC instance, Alex responded back and resolved the sync issue.</span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:8pt; font-variant:normal; white-space:pre-wrap""><span style=""font-family:Arial,sans-serif""><span style=""color:#595959""><span style=""font-weight:400""><span style=""font-style:normal""><span style=""text-decoration:none"">9/14: Week: Alex clarified the questions regarding the sync issues Oaky team reported for them to progress in their testing. </span></span></span></span></span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:8pt; font-variant:normal; white-space:pre-wrap""><span style=""font-family:Arial,sans-serif""><span style=""color:#595959""><span style=""font-weight:400""><span style=""font-style:normal""><span style=""text-decoration:none"">Oaky team SFDC SME is OOO from 9/15, we are waiting to hear from them about the next steps in the project as discussed in the meeting scheduled on 9/6</span></span></span></span></span></span></li>
	<li style=""vertical-align:middle""><span style=""font-size:8pt; font-variant:normal; white-space:pre-wrap""><span style=""font-family:Arial,sans-serif""><span style=""color:#595959""><span style=""font-weight:400""><span style=""font-style:normal""><span style=""text-decoration:none"">9/22: No major updates this week as the client responded they have completed the testing but Alex can review the setup/discuss with them next week, they came up questions on Xero integration and were clarified.</span></span></span></span></span></span></li>
</ul>","","Salesforce,Xero,Stripe","2023-12-01","","","","Renewal","536","","","2023-11-10","","Med","","","","C-00145","","","","","0.00","0.00","Green","","0.00","","Live - Support"
"C-00146","Voluware","-","business","","","Active","","Default","Net 10","USD","14th Day Of The Month","No","Yes","No","15000.00","","Stripe","Stripe","cus_SjbdwJDcLOF4tN","CT-00389","CT-00389","","","","","Yes","No","No","No","No","No","","2025-07-15","1375.00","1375.00","16500.00","16500.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-06-30 17:53:42 UTC","2025-07-30 16:14:35 UTC","20","","None","","75","No","0","","","","","","","QBO","","1 Green","","Nicholas Caligaris","2023-07-10","We have completed the PoC phase and Dave is now organizing his subscription list, so we can begin building out the data in Production.<br />
<br />
It might just be me creating the subscriptions (otherwise I'll wait forever), so this could take a full week of time for me to do this.<br />
-------------------------------------------------------------------------------------<br />
<br />
Client is live as of 12/1.  We just need to close the books with them for December and block off remaining BSLs/RSLs for subscriptions we did not invoice.<br />
<br />
-------------------------------------------------------------------------------------<br />
<br />
Wrapping up February close with the client and cleaning up 1-2 remaining DR items that were not brought in initially.  Max and Sneha are on calls and we are easing them into CS/Support as a result.","","Quickbooks","2024-02-29","Their users are not super diligent","","","Renewal","537","","","2023-10-14","","","","","","C-000146","","","","","0.00","0.00","Green","","0.00","","Live - Support"
"C-00147","Hi Bob Ltd","Formerly ""Mosaic Financials""","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00398","CT-00398","","","","","Yes","No","No","No","No","No","","2024-12-01","3525.00","3333.33","42300.00","40000.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-10-01 18:00:35 UTC","2025-07-30 16:14:35 UTC","0","Max","None","","0","No","0","","","","","","","QBO","","1 Green","","Max Rosenberg","2023-10-10","","","Salesforce","2024-01-01","","","","Renewal","562","","","","On 5/21/25 client shared that Mosaic operations are winding down and they are no longer recognizing revenue in QBO.","","","","","C-00146","","","","","0.00","0.00","Green","","0.00","","Potential Churn"
"C-00148","Regent HS","","business","","","Active","","Default","Net 30","USD","15th Day Of The Month","No","No","No","0.00","","Stripe","Stripe","","CT-00405","CT-00405","","","","","Yes","No","No","No","No","No","","2024-12-16","4400.00","4400.00","52800.00","52800.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-12-15 17:07:24 UTC","2025-07-30 16:14:35 UTC","0","Neil","None","","0","No","0","","","","","","2024-06-01","Sage","2024-07-08","1 Green","https://ordway.atlassian.net/browse/FINI-1453 issue negative invoices applying to positive invoice in Sage
(NOT A BLOCKER)

PRODUCT 
Show any customers who have reached a tier in the current billing month - Checked with VJ no way to getting this via custom fields and workflow at this point. Same request as Prismatic","","","","","","","","","","Renewal","572","","","","Live, meeting them quarterly for check ins","","","","","C-00148","","","","","0.00","0.00","Green","","0.00","","Live - Support"
"C-00149","Fetch Rewards, Inc.","-","business","","","Active","","Default","Net 90","USD","8th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00407","CT-00407","","","","","Yes","No","No","No","No","No","","2024-12-29","19583.34","16666.67","235000.00","200000.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-12-24 23:29:26 UTC","2025-07-30 16:14:36 UTC","0","","None","2025-03-31","0","No","0","","","","","2025-03-01","","","","3 Orange","","","","","","","2025-02-28","","","","Renewal","573","","","","They are making good progress on their SDFC implementation and this project will pick up again in January.","","","","","C-00149","","","","","0.00","0.00","Green","","0.00","","Churned before go live"
"C-00150","Hussle","-","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00408","CT-00408","","","","","Yes","No","No","No","No","No","","2025-01-14","3300.00","2475.00","39600.00","29700.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2023-12-30 04:14:34 UTC","2025-07-30 16:14:36 UTC","25","","None","","41","No","0","","","","","","","QBO","2024-05-15","1 Green","","Nicholas Caligaris","2024-01-12","1/19: Had our first design session this week.<br />
<br />
Challenges:<br />
<br />
1. Convincining them not use ""recognize on invoicing"" for non-physical products (billing runs are a pain, revenue reports only work in arrears, etc.)<br />
2. HubSpot integration (this can be hit or miss with clients and I'm not a SME).<br />
3. API for usage<br />
4. Manual RSL adjustments for revenue recognition that requires ""completion based"" recognition.<br />
<br />
-------------------------------------------------------------------------------------<br />
<br />
4/12: We were supposed to go live on May 1st, but they have not even finished valdiating draft, version 1 subscriptions, much less all the other steps required.  Shannon claims her boss has her working on 3-4 other ""priorities"" at a given time henc the delay.  I told her at some point this will need to be your priority because there's a lot of manual validation and subscription changes required to update the quantities, etc.\","","Hubspot,Quickbooks","2024-06-30","","","","Renewal","574","","","2024-04-16","Live, meeting with them every six months to check in","","","","","C-00150","","","","","0.00","0.00","Green","","0.00","","Live - Support"
"C-00151","Merge","-","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00409","CT-00409","","","","","Yes","No","No","No","No","No","","2024-12-19","4700.00","3000.00","56400.00","36000.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2024-01-05 22:28:13 UTC","2025-07-30 16:14:36 UTC","0","Nick","Implementation/Ongoing Hypercare","2025-06-01","48","No","0","","","","","2025-01-01","","","2024-05-15","1 Green","PRODUCT: FMV - SG is working with product on this
Feature: Will need CC ""fee chargeback"". We can propose the pass through functionality now that its in production.
Feature needed for integrations: Proration selection for base ""365"" versus ""366"" for Leap Year.  Our calculation is messing up their integration with their CPQ, so they would like to select ""365"" as the basis of all proration clalculations since Subskribe allows this: https://ordwaylabs.zendesk.com/agent/filters/360181556391
Feature: Allow the ""ACH/CC"" toggle to surpress said payment method (versus disallowing addition): https://ordway.atlassian.net/browse/PAY-1995

They want CC fee chargeback capability.  They would prefer a product solution, versus the workflow solution proposed by Vijay.

7/29: https://ordwaylabs.zendesk.com/agent/tickets/14740: Billing schedule lines not calculating adjustments correctly. - this was fixed 1/20/25 and we are waiting on confirmation from merge that this can be closed but kathryn is on leave currently

5/28 - FMV value calculation returning null issue in Production for Merge, hotfix being deployed as per Subbu. Is blocking their changes of existing contracts via an add on from SFDC.","Nicholas Caligaris","2024-01-23","3/15: Client is live with new customers after as of 1/31/24.  Right now, I am assisting them with importing historical data of which we succesfully imported 10 (of a representative sample) on Wednesday.<br />
-------------------------------------------------------------------------------------<br />
4/12: We have imported historical subscriptions, now we are manually generating BRs to create invoices as if they had come from Ordway to begin with (adjusting invoice/due dates, etc.).  We are 36% finished with this.<br />
<br />
Once this lift is complete, we will move on to the revenue portion and eventually FMV.<br />
-------------------------------------------------------------------------------------<br />
5/17: See ""Client Status Report"" for a running list of product issues. Besides that, we will attempt to run JEs for all items and perform the finance cutover (pre-FMV) to make sure we are where she expects us to be.  From there, we will need to implement FMV in arrears.<br />
 ","","Salesforce,Stripe","2024-07-31","Kathryn is currently on leave","","","Renewal","576","","","","Alex has helped them a lot of SFDC. Alex/Max/Kathryn met 5/1/25 to discuss ending the ongoing SFDC help. Kathryn is going to act as project manager to make sure their side is doing the work outside of the calls. During month end Alex has mentioned their SFDC person isn't doing the work outside of the calls and Alex is providing ongoing assistance which needs to end and Kathryn agreed.

For FMV Kathryn will reach out as she gets more guidance. She is open to top line entries for FMV adjustments but wants to share the requirements to help the Ordway product, if the Ordway product has gaps with FMV functionality.","","","","","C-00151","","","","","0.00","0.00","Green","","0.00","","Live - Hypercare"
"C-00152","Flowhub","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_SVfPPQ0Kvx7jcD","CT-00410","CT-00410","","","","","Yes","No","No","No","No","No","","2025-07-19","4691.67","3716.67","56300.00","44600.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2024-01-05 22:36:38 UTC","2025-07-30 16:14:37 UTC","0","Neil","None","2024-08-31","0","No","0","","","","","","2024-06-01","QBO","2024-07-08","2 Yellow","PAYARC
https://ordway.atlassian.net/browse/PAY-2086 - timeout handling of payments and refunds. target release in July

Coupon code not avaliable on quote module. https://ordwaylabs.zendesk.com/agent/tickets/13850  (we have a workaround for this)
NOT A BLOCKER","","","","","","","","","","Renewal","577","","","","QUOTES
Not using the Quotes features due the following reasons:
1. There were instances where the quote email wasn't getting sent for 3 or 4 hours (graham said he created a few tickets).
2. The ability to edit the pdf (not as simple as other tools. they are using pandadocs now)
3. Quote status not syncing between ordway/sfdc
4. No true signature page (it only shows the timestamp)

They did not have the data migrated the correct way during implementation and now dealing with some cleanup issues:

1. Duplicate accounts syncing from SF - They are working on clean up based on Subbu's instructions
2. Incorrect account hierarchy on Ordway casuing billing issues - They are working on fixing this 
3. Legacy product names on active subs causes inconsistencies - Low impact item they will work on eventually","","","","","C-00152","","","","","0.00","0.00","Green","","0.00","","Potential Churn"
